Keyword,Reason,Analysis,AU,BR,CA,DE,ES,EU,FR,IT,JP,MX,NL,SE,UAE,UK,US
14500,Prohibited cylindrical lithium ion cell battery type (Restricted products > Electronics),"The keyword '14500' refers to a specific type of cylindrical lithium-ion battery. It is flagged as prohibited in the United States due to restrictions on certain electronic products. The compliance region is unspecified, indicating a broad restriction.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
16340,Prohibited cylindrical lithium ion cell battery type (Restricted products > Electronics),"The keyword '16340' is another cylindrical lithium-ion battery type. It is restricted in Canada, likely due to safety concerns associated with these batteries. The compliance region is unspecified, suggesting a general prohibition.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
18650,Prohibited cylindrical lithium ion cell battery type (Restricted products > Electronics),The '18650' battery is widely used in various electronics but is flagged in the UK under EU compliance. This suggests a regional restriction due to potential safety or regulatory issues.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
20700,Prohibited cylindrical lithium ion cell battery type (Restricted products > Electronics),"The '20700' battery type is prohibited in Germany, aligning with EU compliance standards. This indicates a regional approach to managing electronic product safety.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
21700,Prohibited cylindrical lithium ion cell battery type (Restricted products > Electronics),"The '21700' battery is restricted in France, under EU compliance. This reflects a consistent EU-wide policy on managing certain lithium-ion battery types.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
26650,Prohibited cylindrical lithium ion cell battery type (Restricted products > Electronics),"The '26650' battery type is flagged in Italy, adhering to EU compliance standards. This suggests a uniform approach across the EU regarding these battery types.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
 ALS ,Diseases - analyze to see if this is a claim,No analysis available,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
.com,Can't redirect traffic to other pages,"The '.com' keyword is flagged in Brazil to prevent redirecting traffic to external pages, ensuring users remain within the intended platform.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
(BEST SELLER),Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"The phrase '(BEST SELLER)' is restricted in Mexico due to Amazon Europe's policies against promotional phrases in titles, which can lead to search suppression.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
(BEST_SELLER),Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,"Similarly, '(BEST_SELLER)' is flagged in Saudi Arabia for the same reasons as in Mexico, reflecting Amazon's global policy on promotional content in listings.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
